FF 51 03 07 A1 20,C major
FF 58 04 04 02 18 08,C major
FF 01 18 68 61 72 70 73 69 63 68 6F 72 64 3A 20 4A 6F 68 6E 20 53 61 6E 6B 65 79,C major
C0 06,C major
82 3E 7F,c minor,0.221354166667
90 3C 7F,c minor,0.00651041666667
80 3C 7F,c minor,0.221354166667
92 3E 7F,c minor,0.00651041666667
82 3E 7F,c minor,0.221354166667
97 37 7F,c minor,0.00651041666667
82 4A 7F,c minor,0.0989583333333
87 37 7F,c minor,0.122395833333
9A 39 7F,c minor,0.00651041666667
95 41 7F,c minor
8A 39 7F,c minor,0.221354166667
85 41 7F,c minor,0.00390625
9B 3A 7F,c minor,0.00260416666667
97 43 7F,c minor
8B 3A 7F,c minor,0.221354166667
87 43 7F,c minor,0.00390625
90 3C 7F,c minor,0.00260416666667
95 41 7F,c minor
80 3C 7F,c minor,0.221354166667
85 41 7F,c minor,0.00390625
9A 39 7F,c minor,0.00260416666667
93 4B 7F,c minor
83 4B 7F,c minor,0.110677083333
92 4A 7F,c minor,0.00390625
8A 39 7F,c minor,0.106770833333
82 4A 7F,c minor,0.00390625
9B 3A 7F,c minor,0.00390625
93 4B 7F,c minor
8B 3A 7F,c minor,0.221354166667
90 3C 7F,c minor,0.00651041666667
80 3C 7F,c minor,0.221354166667
92 3E 7F,c minor,0.00651041666667
82 3E 7F,c minor,0.221354166667
9B 3A 7F,c minor,0.00651041666667
83 4B 7F,c minor,0.0989583333333
8B 3A 7F,c minor,0.122395833333
90 3C 7F,c minor,0.00651041666667
95 41 7F,c minor
80 3C 7F,c minor,0.221354166667
85 41 7F,c minor,0.00390625
92 3E 7F,c minor,0.00260416666667
9B 46 7F,c minor
82 3E 7F,c minor,0.221354166667
8B 46 7F,c minor,0.00390625
93 3F 7F,c minor,0.00260416666667
9A 45 7F,c minor
83 3F 7F,c minor,0.221354166667
8A 45 7F,c minor,0.00390625
95 41 7F,c minor,0.00260416666667
92 4A 7F,c minor
85 41 7F,c minor,0.221354166667
82 4A 7F,c minor,0.00390625
93 3F 7F,c minor,0.00260416666667
90 48 7F,c minor
83 3F 7F,c minor,0.221354166667
80 48 7F,c minor,0.00390625
97 43 7F,c minor,0.00260416666667
93 4B 7F,c minor
87 43 7F,c minor,0.221354166667
83 4B 7F,c minor,0.00390625
95 41 7F,c minor,0.00390625
92 4A 7F,c minor
85 41 7F,c minor,0.221354166667
82 4A 7F,c minor,0.00390625
93 3F 7F,c minor,0.00260416666667
97 4F 7F,c minor
83 3F 7F,c minor,0.221354166667
87 4F 7F,c minor,0.00390625
92 3E 7F,c minor,0.00260416666667
95 4D 7F,c minor
82 3E 7F,c minor,0.221354166667
85 4D 7F,c minor,0.00390625
90 3C 7F,c minor,0.00260416666667
93 4B 7F,c minor
80 3C 7F,c minor,0.221354166667
83 4B 7F,c minor,0.00390625
93 3F 7F,c minor,0.00260416666667
92 4A 7F,c minor
83 3F 7F,c minor,0.221354166667
82 4A 7F,c minor,0.00390625
9A 39 7F,c minor,0.00260416666667
90 48 7F,c minor
8A 39 7F,c minor,0.110677083333
97 37 7F,c minor,0.00390625
87 37 7F,c minor,0.110677083333
80 48 7F,c minor
9A 39 7F,c minor,0.00260416666667
95 4D 7F,c minor
85 4D 7F,c minor,0.225260416667
93 4B 7F,c minor,0.00260416666667
83 4B 7F,c minor,0.225260416667
95 4D 7F,c minor,0.00260416666667
85 4D 7F,c minor,0.225260416667
92 4A 7F,c minor,0.00260416666667
8A 39 7F,c minor,0.123697916667
82 4A 7F,c minor,0.1015625
92 32 7F,c minor,0.00390625
90 48 7F,c minor
82 32 7F,c minor,0.221354166667
80 48 7F,c minor,0.00390625
97 37 7F,c minor,0.00260416666667
9B 46 7F,c minor
87 37 7F,c minor,0.221354166667
8B 46 7F,c minor,0.00390625
96 36 7F,c minor,0.00260416666667
9A 45 7F,c minor
86 36 7F,c minor,0.221354166667
8A 45 7F,c minor,0.00390625
9B 3A 7F,c minor,0.00260416666667
92 4A 7F,c minor
8B 3A 7F,c minor,0.221354166667
82 4A 7F,c minor,0.00390625
9A 39 7F,c minor,0.00260416666667
90 48 7F,c minor
8A 39 7F,c minor,0.221354166667
80 48 7F,c minor,0.00390625
90 3C 7F,c minor,0.00260416666667
93 4B 7F,c minor
80 3C 7F,c minor,0.221354166667
83 4B 7F,c minor,0.00390625
9B 3A 7F,c minor,0.00260416666667
92 4A 7F,c minor
8B 3A 7F,c minor,0.221354166667
82 4A 7F,c minor,0.00390625
93 3F 7F,c minor,0.00260416666667
90 48 7F,c minor
83 3F 7F,c minor,0.221354166667
80 48 7F,c minor,0.00390625
92 3E 7F,c minor,0.00260416666667
9B 46 7F,c minor
82 3E 7F,c minor,0.221354166667
8B 46 7F,c minor,0.00390625
90 3C 7F,c minor,0.00260416666667
9A 45 7F,c minor
80 3C 7F,c minor,0.221354166667
8A 45 7F,c minor,0.00390625
9B 3A 7F,c minor,0.00390625
90 48 7F,c minor
8B 3A 7F,c minor,0.221354166667
80 48 7F,c minor,0.00390625
9A 39 7F,c minor,0.00260416666667
95 4D 7F,c minor
85 4D 7F,c minor,0.110677083333
93 4B 7F,c minor,0.00260416666667
8A 39 7F,c minor,0.108072916667
83 4B 7F,c minor,0.00260416666667
92 3E 7F,c minor,0.00390625
95 4D 7F,c minor
82 3E 7F,c minor,0.221354166667
90 3C 7F,c minor,0.00651041666667
80 3C 7F,c minor,0.221354166667
92 3E 7F,c minor,0.00651041666667
82 3E 7F,c minor,0.221354166667
9C 3B 7F,c minor,0.00651041666667
85 4D 7F,c minor,0.07421875
8C 3B 7F,c minor,0.145833333333
95 41 7F,c minor,0.00651041666667
97 43 7F,c minor
85 41 7F,c minor,0.221354166667
87 43 7F,c minor,0.00390625
93 3F 7F,c minor,0.00260416666667
90 48 7F,c minor
83 3F 7F,c minor,0.221354166667
80 48 7F,c minor,0.00390625
92 3E 7F,c minor,0.00260416666667
9C 47 7F,c minor
82 3E 7F,c minor,0.221354166667
8C 47 7F,c minor,0.00390625
90 3C 7F,c minor,0.00260416666667
93 4B 7F,c minor
80 3C 7F,c minor,0.221354166667
83 4B 7F,c minor,0.00390625
9B 3A 7F,c minor,0.00390625
92 4A 7F,c minor
8B 3A 7F,c minor,0.221354166667
82 4A 7F,c minor,0.00390625
98 38 7F,c minor,0.00260416666667
95 4D 7F,c minor
88 38 7F,c minor,0.221354166667
85 4D 7F,c minor,0.00390625
97 37 7F,c minor,0.00260416666667
93 4B 7F,c minor
87 37 7F,c minor,0.221354166667
83 4B 7F,c minor,0.00390625
95 35 7F,c minor,0.00260416666667
98 50 7F,c minor
85 35 7F,c minor,0.221354166667
88 50 7F,c minor,0.00390625
93 33 7F,c minor,0.00260416666667
97 4F 7F,c minor
83 33 7F,c minor,0.221354166667
87 4F 7F,c minor,0.00390625
92 32 7F,c minor,0.00260416666667
95 4D 7F,c minor
82 32 7F,c minor,0.221354166667
85 4D 7F,c minor,0.00390625
90 30 7F,c minor,0.00260416666667
93 4B 7F,c minor
80 30 7F,c minor,0.221354166667
83 4B 7F,c minor,0.00390625
97 37 7F,c minor,0.00260416666667
92 4A 7F,c minor
82 4A 7F,c minor,0.225260416667
97 4F 7F,c minor,0.00260416666667
87 4F 7F,c minor,0.225260416667
97 2B 7F,c minor,0.00260416666667
95 4D 7F,c minor
87 37 7F,c minor,0.20703125
85 4D 7F,c minor,0.0169270833333
97 4F 7F,c minor,0.00260416666667
87 2B 7F,c minor,0.197916666667
87 4F 7F,c minor,0.0260416666667
90 30 7F,c minor,0.00390625
93 4B 7F,c minor
80 30 7F,c minor,0.108072916667
9C 2F 7F,c minor,0.00520833333333
8C 2F 7F,c minor,0.108072916667
83 4B 7F,c minor,0.00390625
90 30 7F,c minor,0.00260416666667
92 4A 7F,c minor
82 4A 7F,c minor,0.225260416667
90 48 7F,c minor,0.00260416666667
80 30 7F,c minor,0.22265625
80 48 7F,c minor,0.00260416666667
92 32 7F,c minor,0.00260416666667
9C 47 7F,c minor
82 32 7F,c minor,0.221354166667
8C 47 7F,c minor,0.00390625
93 33 7F,c minor,0.00260416666667
90 48 7F,c minor
83 33 7F,c minor,0.221354166667
80 48 7F,c minor,0.00390625
95 35 7F,c minor,0.00260416666667
92 4A 7F,c minor
85 35 7F,c minor,0.221354166667
82 4A 7F,c minor,0.00390625
97 37 7F,c minor,0.00260416666667
93 4B 7F,c minor
83 4B 7F,c minor,0.225260416667
97 43 7F,c minor,0.00260416666667
87 37 7F,c minor,0.22265625
87 43 7F,c minor,0.00260416666667
98 38 7F,c minor,0.00260416666667
98 44 7F,c minor
88 38 7F,c minor,0.108072916667
97 37 7F,c minor,0.00651041666667
87 37 7F,c minor,0.108072916667
88 44 7F,c minor,0.00260416666667
98 38 7F,c minor,0.00260416666667
9B 46 7F,c minor
88 38 7F,c minor,0.108072916667
97 37 7F,c minor,0.00651041666667
87 37 7F,c minor,0.108072916667
8B 46 7F,c minor,0.00260416666667
95 35 7F,c minor,0.00390625
98 44 7F,c minor
88 44 7F,c minor,0.225260416667
95 41 7F,c minor,0.00260416666667
85 41 7F,c minor,0.225260416667
95 4D 7F,c minor,0.00260416666667
85 4D 7F,c minor,0.225260416667
93 4B 7F,c minor,0.00260416666667
85 35 7F,c minor,0.170572916667
83 4B 7F,c minor,0.0546875
95 35 7F,c minor,0.00260416666667
92 4A 7F,c minor
82 4A 7F,c minor,0.225260416667
90 48 7F,c minor,0.00260416666667
85 35 7F,c minor,0.22265625
80 48 7F,c minor,0.00260416666667
97 37 7F,c minor,0.00260416666667
9C 47 7F,c minor
87 37 7F,c minor,0.108072916667
95 35 7F,c minor,0.00651041666667
85 35 7F,c minor,0.108072916667
8C 47 7F,c minor,0.00260416666667
97 37 7F,c minor,0.00260416666667
98 50 7F,c minor
87 37 7F,c minor,0.108072916667
95 35 7F,c minor,0.00651041666667
85 35 7F,c minor,0.108072916667
88 50 7F,c minor,0.00260416666667
93 33 7F,c minor,0.00260416666667
97 4F 7F,c minor
87 4F 7F,c minor,0.225260416667
95 4D 7F,c minor,0.00260416666667
85 4D 7F,c minor,0.225260416667
93 4B 7F,c minor,0.00390625
83 33 7F,c minor,0.135416666667
83 4B 7F,c minor,0.0885416666667
95 35 7F,c minor,0.00260416666667
92 4A 7F,c minor
85 35 7F,c minor,0.221354166667
82 4A 7F,c minor,0.00390625
93 33 7F,c minor,0.00260416666667
90 48 7F,c minor
83 33 7F,c minor,0.221354166667
80 48 7F,c minor,0.00390625
92 32 7F,c minor,0.00260416666667
9C 47 7F,c minor
82 32 7F,c minor,0.221354166667
8C 47 7F,c minor,0.00390625
90 30 7F,c minor,0.00260416666667
90 48 7F,c minor
80 30 7F,c minor,0.221354166667
80 48 7F,c minor,0.00390625
9B 2E 7F,c minor,0.00260416666667
92 4A 7F,c minor
8B 2E 7F,c minor,0.221354166667
82 4A 7F,c minor,0.00390625
98 2C 7F,c minor,0.00260416666667
90 48 7F,c minor
88 2C 7F,c minor,0.221354166667
80 48 7F,c minor,0.00390625
97 2B 7F,c minor,0.00260416666667
92 4A 7F,c minor
87 2B 7F,c minor,0.221354166667
82 4A 7F,c minor,0.00390625
95 29 7F,c minor,0.00260416666667
93 4B 7F,c minor
83 4B 7F,c minor,0.108072916667
92 4A 7F,c minor,0.00651041666667
85 29 7F,c minor,0.106770833333
82 4A 7F,c minor,0.00130208333333
93 27 7F,c minor,0.00520833333333
93 4B 7F,c minor
83 4B 7F,c minor,0.108072916667
92 4A 7F,c minor,0.00651041666667
83 27 7F,c minor,0.106770833333
82 4A 7F,c minor,0.00130208333333
95 29 7F,c minor,0.00651041666667
93 4B 7F,c minor
83 4B 7F,c minor,0.108072916667
92 4A 7F,c minor,0.00520833333333
82 4A 7F,c minor,0.108072916667
85 29 7F,c minor
97 2B 7F,c minor,0.00651041666667
90 48 7F,c minor
80 48 7F,c minor,0.108072916667
92 4A 7F,c minor,0.00520833333333
82 4A 7F,c minor,0.108072916667
87 2B 7F,c minor
90 24 7F,c minor,0.00651041666667
93 4B 7F,c minor
83 4B 7F,c minor,0.225260416667
92 4A 7F,c minor,0.00260416666667
80 24 7F,c minor,0.22265625
82 4A 7F,c minor,0.00260416666667
90 30 7F,c minor,0.00260416666667
90 48 7F,c minor
80 30 7F,c minor,0.221354166667
80 48 7F,c minor,0.00390625
9C 2F 7F,c minor,0.00260416666667
92 4A 7F,c minor
8C 2F 7F,c minor,0.221354166667
82 4A 7F,c minor,0.00390625
90 30 7F,c minor,0.00260416666667
93 4B 7F,c minor
80 30 7F,c minor,0.221354166667
83 4B 7F,c minor,0.00390625
92 32 7F,c minor,0.00260416666667
95 4D 7F,c minor
82 32 7F,c minor,0.221354166667
85 4D 7F,c minor,0.00390625
93 33 7F,c minor,0.00260416666667
97 4F 7F,c minor
83 33 7F,c minor,0.221354166667
97 2B 7F,c minor,0.00651041666667
87 4F 7F,c minor,0.126302083333
87 2B 7F,c minor,0.0950520833333
98 2C 7F,c minor,0.0078125
98 50 7F,c minor
88 50 7F,c minor,0.108072916667
97 4F 7F,c minor,0.00520833333333
87 4F 7F,c minor,0.108072916667
88 2C 7F,c minor
9B 2E 7F,c minor,0.00651041666667
98 50 7F,c minor
88 50 7F,c minor,0.108072916667
97 4F 7F,c minor,0.00520833333333
87 4F 7F,c minor,0.108072916667
8B 2E 7F,c minor
98 2C 7F,c minor,0.00651041666667
95 4D 7F,c minor
88 2C 7F,c minor,0.221354166667
95 29 7F,c minor,0.00651041666667
85 29 7F,c minor,0.221354166667
95 35 7F,c minor,0.00651041666667
85 35 7F,c minor,0.221354166667
93 33 7F,c minor,0.00651041666667
85 4D 7F,c minor,0.123697916667
83 33 7F,c minor,0.09765625
92 32 7F,c minor,0.00651041666667
95 4D 7F,c minor
82 32 7F,c minor,0.221354166667
90 30 7F,c minor,0.00651041666667
80 30 7F,c minor,0.221354166667
85 4D 7F,c minor,0.00130208333333
9C 2F 7F,c minor,0.00520833333333
97 4F 7F,c minor
87 4F 7F,c minor,0.109375
95 4D 7F,c minor,0.00651041666667
85 4D 7F,c minor,0.109375
8C 2F 7F,c minor
98 38 7F,c minor,0.00520833333333
97 4F 7F,c minor
87 4F 7F,c minor,0.109375
95 4D 7F,c minor,0.00651041666667
85 4D 7F,c minor,0.109375
88 38 7F,c minor
97 37 7F,c minor,0.00651041666667
93 4B 7F,c minor
87 37 7F,c minor,0.225260416667
83 4B 7F,c minor,0.00260416666667
95 35 7F,c minor,0.00260416666667
92 4A 7F,c minor
85 35 7F,c minor,0.225260416667
82 4A 7F,c minor,0.00260416666667
93 33 7F,c minor,0.00260416666667
97 4F 7F,c minor
83 33 7F,c minor,0.229166666667
87 4F 7F,c minor,0.00260416666667
92 32 7F,c minor,0.00260416666667
95 4D 7F,c minor
82 32 7F,c minor,0.229166666667
85 4D 7F,c minor,0.00260416666667
90 30 7F,c minor,0.00260416666667
98 50 7F,c minor
80 30 7F,c minor,0.229166666667
88 50 7F,c minor,0.00260416666667
9C 2F 7F,c minor,0.00390625
97 4F 7F,c minor
8C 2F 7F,c minor,0.229166666667
87 4F 7F,c minor,0.00260416666667
90 30 7F,c minor,0.00260416666667
97 4F 7F,c minor
87 4F 7F,c minor,0.114583333333
95 4D 7F,c minor,0.00651041666667
85 4D 7F,c minor,0.114583333333
80 30 7F,c minor
97 2B 7F,c minor,0.00520833333333
97 4F 7F,c minor
87 2B 7F,c minor,0.235677083333
98 2C 7F,c minor,0.00651041666667
87 4F 7F,c minor,0.234375
88 2C 7F,c minor,0.00130208333333
95 29 7F,c minor,0.00520833333333
98 50 7F,c minor
85 29 7F,c minor,0.235677083333
88 50 7F,c minor,0.00260416666667
97 2B 7F,c minor,0.00390625
93 4B 7F,c minor
83 4B 7F,c minor,0.180989583333
92 4A 7F,c minor,0.00260416666667
93 4B 7F,c minor,0.0924479166667
82 4A 7F,c minor,0.00520833333333
92 4A 7F,c minor,0.0859375
83 4B 7F,c minor,0.00520833333333
93 4B 7F,c minor,0.0859375
82 4A 7F,c minor,0.00520833333333
87 2B 7F,c minor,0.0807291666667
97 2B 7F,c minor,0.00520833333333
92 4A 7F,c minor
83 4B 7F,c minor,0.00520833333333
82 4A 7F,c minor,0.266927083333
90 48 7F,c minor,0.0234375
87 2B 7F,c minor,0.268229166667
80 48 7F,c minor,0.00390625
90 24 7F,c minor,0.0247395833333
90 48 7F,c minor
80 48 7F,c minor,3.44791666667
80 24 7F,c minor
FF 2F 00,c minor,5.66145833333

FF 51 03 07 A1 20,D major
FF 58 04 04 02 18 08,D major
FF 01 18 68 61 72 70 73 69 63 68 6F 72 64 3A 20 4A 6F 68 6E 20 53 61 6E 6B 65 79,D major
C0 06,D major
E0 00 40,D major
C1 06,D major
E1 70 3C,D major
C2 06,D major
E2 44 3D,D major
C3 06,D major
E3 10 3E,D major
C4 06,D major
E4 70 3C,D major
C5 06,D major
E5 30 3F,D major
C6 06,D major
E6 20 3C,D major
C7 06,D major
E7 65 3E,D major
C8 06,D major
E8 40 3D,D major
CA 06,D major
EA 20 3C,D major
CB 06,D major
EB 60 3E,D major
CC 06,D major
EC 40 3D,D major
FF 03 07 54 72 61 63 6B 20 31,D major
FF 03 04 4D 49 44 49,D major
92 3E 7F,D major,0.14453125
82 3E 7F,D major,0.236979166667
94 40 7F,D major,0.00260416666667
84 40 7F,D major,0.236979166667
96 42 7F,D major,0.00520833333333
86 42 7F,D major,0.236979166667
94 40 7F,D major,0.00520833333333
84 40 7F,D major,0.236979166667
97 43 7F,D major,0.00390625
87 43 7F,D major,0.236979166667
96 42 7F,D major,0.00520833333333
86 42 7F,D major,0.236979166667
94 40 7F,D major,0.00651041666667
84 40 7F,D major,0.236979166667
92 3E 7F,D major,0.00390625
82 3E 7F,D major,0.236979166667
9A 45 7F,D major,0.00520833333333
8A 45 7F,D major,0.236979166667
97 43 7F,D major,0.00390625
87 43 7F,D major,0.236979166667
96 42 7F,D major,0.00520833333333
86 42 7F,D major,0.236979166667
94 40 7F,D major,0.00390625
84 40 7F,D major,0.236979166667
96 42 7F,D major,0.00520833333333
92 32 7F,D major
82 32 7F,D major,0.236979166667
86 42 7F,D major
92 3E 7F,D major,0.00651041666667
94 34 7F,D major
84 34 7F,D major,0.236979166667
82 3E 7F,D major
9A 45 7F,D major,0.00390625
96 36 7F,D major
86 36 7F,D major,0.236979166667
94 34 7F,D major,0.00520833333333
84 34 7F,D major,0.236979166667
8A 45 7F,D major
9C 47 7F,D major,0.00520833333333
97 37 7F,D major
87 37 7F,D major,0.236979166667
96 36 7F,D major,0.00260416666667
86 36 7F,D major,0.236979166667
8C 47 7F,D major,0.00260416666667
91 49 7F,D major,0.00260416666667
94 34 7F,D major
81 49 7F,D major,0.115885416667
9C 47 7F,D major,0.00651041666667
84 34 7F,D major,0.114583333333
8C 47 7F,D major,0.00130208333333
91 49 7F,D major,0.00390625
92 32 7F,D major
81 49 7F,D major,0.115885416667
92 4A 7F,D major,0.00651041666667
82 32 7F,D major,0.114583333333
82 4A 7F,D major,0.00130208333333
92 4A 7F,D major,0.00520833333333
9A 39 7F,D major
82 4A 7F,D major,0.115885416667
91 49 7F,D major,0.00260416666667
81 49 7F,D major,0.115885416667
8A 39 7F,D major,0.00260416666667
92 4A 7F,D major,0.00390625
97 37 7F,D major
82 4A 7F,D major,0.115885416667
91 49 7F,D major,0.00390625
81 49 7F,D major,0.115885416667
87 37 7F,D major,0.00130208333333
9C 47 7F,D major,0.00520833333333
96 36 7F,D major
86 36 7F,D major,0.236979166667
8C 47 7F,D major
9A 45 7F,D major,0.00520833333333
94 34 7F,D major
8A 45 7F,D major,0.205729166667
84 34 7F,D major,0.0286458333333
91 49 7F,D major,0.00390625
96 36 7F,D major
86 36 7F,D major,0.236979166667
81 49 7F,D major
92 4A 7F,D major,0.00520833333333
92 32 7F,D major
82 32 7F,D major,0.236979166667
82 4A 7F,D major
94 4C 7F,D major,0.00520833333333
9A 39 7F,D major
91 49 7F,D major,0.240885416667
84 4C 7F,D major,0.0078125
81 49 7F,D major,0.229166666667
96 4E 7F,D major,0.00520833333333
9A 2D 7F,D major
92 4A 7F,D major,0.240885416667
86 4E 7F,D major,0.0572916666667
8A 39 7F,D major,0.170572916667
82 4A 7F,D major,0.00651041666667
91 49 7F,D major,0.00390625
9A 39 7F,D major
8A 2D 7F,D major,0.01953125
81 49 7F,D major,0.217447916667
9C 47 7F,D major,0.00520833333333
8C 47 7F,D major,0.236979166667
8A 39 7F,D major
94 4C 7F,D major,0.00520833333333
9A 39 7F,D major
91 49 7F,D major,0.240885416667
84 4C 7F,D major,0.0078125
81 49 7F,D major,0.229166666667
92 4A 7F,D major,0.00390625
9A 2D 7F,D major
9C 47 7F,D major,0.2421875
82 4A 7F,D major,0.0559895833333
8A 39 7F,D major,0.171875
8C 47 7F,D major,0.00651041666667
9A 45 7F,D major,0.00651041666667
9A 39 7F,D major
8A 2D 7F,D major,0.015625
8A 45 7F,D major,0.221354166667
98 44 7F,D major,0.00260416666667
88 44 7F,D major,0.236979166667
8A 39 7F,D major,0.00260416666667
94 4C 7F,D major,0.00260416666667
9A 39 7F,D major
84 4C 7F,D major,0.227864583333
91 49 7F,D major,0.0130208333333
8A 39 7F,D major,0.221354166667
81 49 7F,D major,0.00651041666667
96 4E 7F,D major,0.01171875
9A 2D 7F,D major
86 4E 7F,D major,0.227864583333
92 4A 7F,D major,0.0130208333333
8A 2D 7F,D major,0.221354166667
82 4A 7F,D major,0.00651041666667
91 49 7F,D major,0.0130208333333
9A 39 7F,D major
81 49 7F,D major,0.227864583333
9C 47 7F,D major,0.01171875
8A 39 7F,D major,0.22265625
8C 47 7F,D major,0.00520833333333
94 4C 7F,D major,0.01171875
9A 39 7F,D major
84 4C 7F,D major,0.227864583333
91 49 7F,D major,0.0143229166667
8A 39 7F,D major,0.220052083333
81 49 7F,D major,0.0078125
92 4A 7F,D major,0.0130208333333
9A 2D 7F,D major
82 4A 7F,D major,0.227864583333
9C 47 7F,D major,0.01171875
8A 2D 7F,D major,0.22265625
8C 47 7F,D major,0.00520833333333
9A 45 7F,D major,0.0130208333333
9A 39 7F,D major
8A 45 7F,D major,0.227864583333
98 44 7F,D major,0.01171875
8A 39 7F,D major,0.186197916667
88 44 7F,D major,0.046875
91 49 7F,D major,0.0078125
9A 39 7F,D major
81 49 7F,D major,0.236979166667
9C 47 7F,D major,0.00520833333333
8C 47 7F,D major,0.236979166667
8A 39 7F,D major
92 4A 7F,D major,0.00520833333333
9C 3B 7F,D major
82 4A 7F,D major,0.236979166667
91 49 7F,D major,0.00520833333333
81 49 7F,D major,0.236979166667
8C 3B 7F,D major
9C 47 7F,D major,0.00520833333333
91 3D 7F,D major
8C 47 7F,D major,0.236979166667
9A 45 7F,D major,0.00520833333333
8A 45 7F,D major,0.236979166667
81 3D 7F,D major
96 4E 7F,D major,0.00520833333333
92 3E 7F,D major
82 3E 7F,D major,0.236979166667
91 3D 7F,D major,0.00260416666667
81 3D 7F,D major,0.236979166667
86 4E 7F,D major,0.00260416666667
98 44 7F,D major,0.00260416666667
94 40 7F,D major
84 40 7F,D major,0.236979166667
92 3E 7F,D major,0.00520833333333
82 3E 7F,D major,0.236979166667
88 44 7F,D major
9A 45 7F,D major,0.00520833333333
91 3D 7F,D major
81 3D 7F,D major,0.236979166667
9C 3B 7F,D major,0.00520833333333
8A 45 7F,D major,0.115885416667
9C 47 7F,D major,0.00390625
8C 47 7F,D major,0.115885416667
8C 3B 7F,D major,0.00130208333333
9A 45 7F,D major,0.00520833333333
91 3D 7F,D major
8A 45 7F,D major,0.115885416667
98 44 7F,D major,0.00390625
88 44 7F,D major,0.115885416667
81 3D 7F,D major,0.00130208333333
9A 45 7F,D major,0.00390625
92 3E 7F,D major
8A 45 7F,D major,0.115885416667
9C 47 7F,D major,0.00520833333333
8C 47 7F,D major,0.115885416667
82 3E 7F,D major
91 49 7F,D major,0.00390625
94 40 7F,D major
81 49 7F,D major,0.15625
9C 47 7F,D major,0.00520833333333
8C 47 7F,D major,0.078125
91 49 7F,D major,0.00130208333333
81 49 7F,D major,0.078125
9C 47 7F,D major,0.00260416666667
8C 47 7F,D major,0.078125
91 49 7F,D major,0.00130208333333
81 49 7F,D major,0.078125
9C 47 7F,D major,0.00130208333333
94 34 7F,D major
8C 47 7F,D major,0.236979166667
9A 45 7F,D major,0.00390625
84 40 7F,D major,0.229166666667
8A 45 7F,D major,0.00520833333333
84 34 7F,D major,0.00260416666667
9A 45 7F,D major,0.00520833333333
9A 39 7F,D major
8A 39 7F,D major,0.236979166667
94 34 7F,D major,0.00520833333333
84 34 7F,D major,0.236979166667
96 36 7F,D major,0.00260416666667
86 36 7F,D major,0.236979166667
98 38 7F,D major,0.00520833333333
88 38 7F,D major,0.236979166667
9A 39 7F,D major,0.00520833333333
8A 45 7F,D major,0.139322916667
8A 39 7F,D major,0.09765625
9C 3B 7F,D major,0.00390625
8C 3B 7F,D major,0.236979166667
91 3D 7F,D major,0.00520833333333
81 3D 7F,D major,0.236979166667
9C 3B 7F,D major,0.00651041666667
8C 3B 7F,D major,0.236979166667
94 4C 7F,D major,0.00520833333333
92 3E 7F,D major
82 3E 7F,D major,0.236979166667
91 3D 7F,D major,0.00390625
84 4C 7F,D major,0.229166666667
81 3D 7F,D major,0.0078125
9A 51 7F,D major,0.00390625
9C 3B 7F,D major
8C 3B 7F,D major,0.236979166667
9A 39 7F,D major,0.00520833333333
8A 39 7F,D major,0.236979166667
94 40 7F,D major,0.00390625
8A 51 7F,D major,0.23828125
9C 47 7F,D major,0.00390625
8C 47 7F,D major,0.236979166667
91 49 7F,D major,0.00651041666667
94 34 7F,D major
81 49 7F,D major,0.236979166667
93 4B 7F,D major,0.00390625
83 4B 7F,D major,0.236979166667
94 4C 7F,D major,0.00520833333333
84 4C 7F,D major,0.236979166667
84 40 7F,D major,0.00130208333333
84 34 7F,D major,0.00260416666667
96 4E 7F,D major,0.00130208333333
86 4E 7F,D major,0.236979166667
97 4F 7F,D major,0.00390625
87 4F 7F,D major,0.236979166667
96 4E 7F,D major,0.00390625
86 4E 7F,D major,0.236979166667
9A 51 7F,D major,0.00520833333333
9C 3B 7F,D major
8A 51 7F,D major,0.236979166667
97 4F 7F,D major,0.00651041666667
8C 3B 7F,D major,0.235677083333
87 4F 7F,D major,0.00130208333333
96 4E 7F,D major,0.00390625
94 40 7F,D major
86 4E 7F,D major,0.236979166667
94 4C 7F,D major,0.00520833333333
84 4C 7F,D major,0.236979166667
9C 53 7F,D major,0.00520833333333
84 40 7F,D major,0.236979166667
96 36 7F,D major,0.00260416666667
86 36 7F,D major,0.236979166667
9C 47 7F,D major,0.00520833333333
98 38 7F,D major
88 38 7F,D major,0.236979166667
9B 3A 7F,D major,0.00520833333333
8B 3A 7F,D major,0.236979166667
9C 3B 7F,D major,0.00651041666667
8C 3B 7F,D major,0.236979166667
91 3D 7F,D major,0.00390625
8C 47 7F,D major,0.227864583333
81 3D 7F,D major,0.00651041666667
8C 53 7F,D major,0.00260416666667
92 3E 7F,D major,0.00390625
82 3E 7F,D major,0.236979166667
91 3D 7F,D major,0.00520833333333
81 3D 7F,D major,0.236979166667
96 42 7F,D major,0.00260416666667
94 40 7F,D major
84 40 7F,D major,0.236979166667
92 3E 7F,D major,0.00520833333333
82 3E 7F,D major,0.236979166667
86 42 7F,D major
9C 47 7F,D major,0.00520833333333
91 3D 7F,D major
8C 47 7F,D major,0.115885416667
9B 46 7F,D major,0.00651041666667
81 3D 7F,D major,0.114583333333
8B 46 7F,D major,0.00130208333333
9C 47 7F,D major,0.00260416666667
9C 3B 7F,D major
8C 3B 7F,D major,0.236979166667
96 42 7F,D major,0.00651041666667
8C 47 7F,D major,0.235677083333
9B 46 7F,D major,0.00651041666667
