FF 51 03 07 A1 20
FF 58 04 04 02 18 08
FF 01 18 68 61 72 70 73 69 63 68 6F 72 64 3A 20 4A 6F 68 6E 20 53 61 6E 6B 65 79
C0 06
9C 47 7F,0.00390625
92 32 7F
82 32 7F,0.259114583333
8C 47 7F,0.00260416666667
90 48 7F,0.00390625
94 34 7F
84 34 7F,0.259114583333
94 40 7F,0.00651041666667
95 35 7F
84 40 7F,0.248697916667
85 35 7F,0.0104166666667
92 3E 7F,0.00651041666667
97 37 7F
80 48 7F,0.270833333333
90 48 7F,0.0247395833333
82 3E 7F,0.291666666667
95 41 7F,0.00651041666667
97 2B 7F
87 37 7F,0.272135416667
80 48 7F,0.0182291666667
9C 47 7F,0.0078125
87 2B 7F,0.290364583333
85 41 7F
8C 47 7F,0.00260416666667
90 24 7F,0.03515625
90 48 7F
97 43 7F
94 40 7F
84 40 7F,3.71354166667
87 43 7F
80 48 7F
80 24 7F
FF 2F 00,4.96223958333

